UPRN,POSTCODE,COUNTRYCODE
10001,M1 1AA,E
10002,M1 1AB,E
10003,M1 1AD,E
10004,M1 1AE,E
10005,M1 1AF,E
10006,M2 2AA,E
10007,M2 2AB,E
10008,M2 2AD,E
10009,M2 2AE,E
10010,M2 2AF,E
10011,M3 3AA,E
10012,M3 3AB,E
10013,M3 3AD,E
10014,M3 3AE,E
10015,M3 3AF,E
10016,M4 4AA,E
10017,M4 4AB,E
10018,M4 4AD,E
10019,M4 4AE,E
10020,M4 4AF,E
10021,M8 8AA,E
10022,M8 8AB,E
10023,M8 8AD,E
10024,M8 8AE,E
10025,M8 8AF,E
10026,M16 0AA,E
10027,M16 0AB,E
10028,M16 0AD,E
10029,M16 0AE,E
10030,M16 0AF,E
10031,M21 9AA,E
10032,M21 9AB,E
10033,M21 9AD,E
10034,M21 9AE,E
10035,M21 9AF,E
10036,M50 3AA,E
10037,M50 3AB,E
10038,M50 3AD,E
10039,M50 3AE,E
10040,M50 3AF,E
10041,M60 1AA,E
10042,M60 1AB,E
10043,M60 1AD,E
10044,M60 1AE,E
10045,M60 1AF,E
10046,SW1A 0AA,E
10047,SW1A 0AB,E
10048,SW1A 0AD,E
10049,SW1A 1AA,E
10050,SW1A 1AB,E
10051,SW1A 1AD,E
10052,SW1W 0NY,E
10053,SW1W 0NZ,E
10054,SW1W 0PA,E
10055,SW3 1AA,E
10056,SW3 1AB,E
10057,SW3 1AD,E
10058,SW5 0AA,E
10059,SW5 0AB,E
10060,SW5 0AD,E
10061,AB10 1AA,S
10062,AB10 1AB,S
10063,AB10 1AD,S
10064,AB10 1AE,S
10065,AB10 1AF,S
10066,AB11 5AA,S
10067,AB11 5AB,S
10068,AB11 5AD,S
10069,AB11 5AE,S
10070,AB11 5AF,S
10071,AB12 3AA,S
10072,AB12 3AB,S
10073,AB12 3AD,S
10074,AB12 3AE,S
10075,AB12 3AF,S
10076,AB15 4AA,S
10077,AB15 4AB,S
10078,AB15 4AD,S
